latitude,longitude
51.2504,-179.0842
51.8287,-177.9853
51.6841,-177.9853
51.8287,-177.8022
51.6841,-177.6190
51.6841,-176.8864
51.8287,-176.7033
51.6841,-176.7033
51.8287,-176.5201
51.8287,-176.3370
51.9733,-176.1538
51.8287,-176.1538
51.9733,-175.9707
51.9733,-175.7875
51.9733,-175.6044
52.1179,-174.8718
52.1179,-174.6886
52.1179,-174.5055
52.2624,-174.3223
52.1179,-174.3223
52.2624,-174.1392
52.1179,-174.1392
52.1179,-173.9560
52.1179,-173.7729
52.1179,-173.5897
52.1179,-173.4066
52.1179,-173.2234
60.6473,-173.0403
60.5027,-173.0403
60.5027,-172.8571
60.3582,-172.6740
60.3582,-172.4908
52.2624,-172.4908
60.3582,-172.3077
63.6832,-171.7582
63.5387,-171.7582
63.3941,-171.7582
63.6832,-171.5751
63.5387,-171.5751
63.3941,-171.5751
63.5387,-171.3919
63.3941,-171.3919
63.5387,-171.2088
63.5387,-171.0256
63.5387,-170.8425
63.5387,-170.6593
63.3941,-170.6593
52.6961,-170.6593
63.6832,-170.4762
63.5387,-170.4762
63.3941,-170.4762
63.5387,-170.2930
63.3941,-170.2930
63.2495,-170.2930
57.1777,-170.2930
63.5387,-170.1099
63.3941,-170.1099
63.2495,-170.1099
52.8407,-170.1099
63.3941,-169.9267
63.2495,-169.9267
52.8407,-169.9267
63.3941,-169.7436
63.2495,-169.7436
63.1050,-169.7436
62.9604,-169.7436
56.5994,-169.7436
52.9853,-169.7436
52.8407,-169.7436
63.2495,-169.5604
63.1050,-169.5604
56.5994,-169.5604
63.2495,-169.3773
63.2495,-169.1941
63.2495,-169.0110
52.8407,-169.0110
63.2495,-168.8278
52.9853,-168.8278
53.1298,-168.6447
53.1298,-168.4615
53.4190,-168.2784
53.2744,-168.2784
53.4190,-168.0952
65.7072,-167.9121
65.5626,-167.9121
53.4190,-167.9121
65.7072,-167.7289
65.5626,-167.7289
53.2744,-167.7289
65.7072,-167.5458
65.5626,-167.5458
65.8517,-167.3626
65.7072,-167.3626
65.5626,-167.3626
65.4180,-167.3626
60.2136,-167.3626
53.4190,-167.3626
65.8517,-167.1795
65.7072,-167.1795
65.5626,-167.1795
65.4180,-167.1795
60.2136,-167.1795
60.0690,-167.1795
53.4190,-167.1795
65.8517,-166.9963
65.7072,-166.9963
65.5626,-166.9963
65.4180,-166.9963
60.2136,-166.9963
60.0690,-166.9963
53.8527,-166.9963
53.7081,-166.9963
53.5635,-166.9963
65.9963,-166.8132
65.8517,-166.8132
65.7072,-166.8132
65.5626,-166.8132
65.4180,-166.8132
65.1289,-166.8132
60.2136,-166.8132
60.0690,-166.8132
59.9245,-166.8132
53.9972,-166.8132
53.8527,-166.8132
53.7081,-166.8132
53.5635,-166.8132
65.9963,-166.6300
65.8517,-166.6300
65.7072,-166.6300
65.5626,-166.6300
65.4180,-166.6300
64.9843,-166.6300
60.2136,-166.6300
60.0690,-166.6300
59.9245,-166.6300
53.9972,-166.6300
53.8527,-166.6300
53.7081,-166.6300
53.5635,-166.6300
66.1409,-166.4469
65.9963,-166.4469
65.8517,-166.4469
65.7072,-166.4469
65.5626,-166.4469
65.4180,-166.4469
65.1289,-166.4469
64.9843,-166.4469
60.3582,-166.4469
60.2136,-166.4469
60.0690,-166.4469
59.9245,-166.4469
53.8527,-166.4469
53.7081,-166.4469
68.4539,-166.2637
68.3094,-166.2637
66.1409,-166.2637
65.9963,-166.2637
65.8517,-166.2637
65.7072,-166.2637
65.5626,-166.2637
65.4180,-166.2637
65.2735,-166.2637
65.1289,-166.2637
64.9843,-166.2637
64.8398,-166.2637
64.6952,-166.2637
60.3582,-166.2637
60.2136,-166.2637
60.0690,-166.2637
59.9245,-166.2637
53.7081,-166.2637
68.7431,-166.0806
68.5985,-166.0806
68.4539,-166.0806
68.3094,-166.0806
66.1409,-166.0806
65.9963,-166.0806
65.8517,-166.0806
65.7072,-166.0806
65.5626,-166.0806
65.4180,-166.0806
65.2735,-166.0806
65.1289,-166.0806
64.9843,-166.0806
64.8398,-166.0806
64.6952,-166.0806
61.8039,-166.0806
61.6593,-166.0806
61.5147,-166.0806
60.2136,-166.0806
60.0690,-166.0806
59.9245,-166.0806
54.1418,-166.0806
68.7431,-165.8974
68.5985,-165.8974
68.4539,-165.8974
68.3094,-165.8974
68.1648,-165.8974
66.2854,-165.8974
66.1409,-165.8974
65.9963,-165.8974
65.8517,-165.8974
65.7072,-165.8974
65.5626,-165.8974
65.4180,-165.8974
65.2735,-165.8974
65.1289,-165.8974
64.9843,-165.8974
64.8398,-165.8974
64.6952,-165.8974
64.5506,-165.8974
61.8039,-165.8974
61.6593,-165.8974
60.2136,-165.8974
60.0690,-165.8974
59.9245,-165.8974
54.1418,-165.8974
68.7431,-165.7143
68.5985,-165.7143
68.4539,-165.7143
