latitude,longitude
46.9134,-123.2234
45.4678,-123.2234
44.0221,-123.2234
42.5764,-123.2234
41.1307,-123.2234
39.6851,-123.2234
48.3591,-121.3919
46.9134,-121.3919
45.4678,-121.3919
44.0221,-121.3919
42.5764,-121.3919
41.1307,-121.3919
39.6851,-121.3919
38.2394,-121.3919
36.7937,-121.3919
48.3591,-119.5604
46.9134,-119.5604
45.4678,-119.5604
44.0221,-119.5604
42.5764,-119.5604
41.1307,-119.5604
39.6851,-119.5604
38.2394,-119.5604
36.7937,-119.5604
35.3481,-119.5604
48.3591,-117.7289
46.9134,-117.7289
45.4678,-117.7289
44.0221,-117.7289
42.5764,-117.7289
41.1307,-117.7289
39.6851,-117.7289
38.2394,-117.7289
36.7937,-117.7289
35.3481,-117.7289
33.9024,-117.7289
48.3591,-115.8974
46.9134,-115.8974
45.4678,-115.8974
44.0221,-115.8974
42.5764,-115.8974
41.1307,-115.8974
39.6851,-115.8974
38.2394,-115.8974
36.7937,-115.8974
35.3481,-115.8974
33.9024,-115.8974
48.3591,-114.0659
46.9134,-114.0659
45.4678,-114.0659
44.0221,-114.0659
42.5764,-114.0659
41.1307,-114.0659
39.6851,-114.0659
38.2394,-114.0659
36.7937,-114.0659
35.3481,-114.0659
33.9024,-114.0659
32.4567,-114.0659
48.3591,-112.2344
46.9134,-112.2344
45.4678,-112.2344
44.0221,-112.2344
42.5764,-112.2344
41.1307,-112.2344
39.6851,-112.2344
38.2394,-112.2344
36.7937,-112.2344
35.3481,-112.2344
33.9024,-112.2344
32.4567,-112.2344
48.3591,-110.4029
46.9134,-110.4029
45.4678,-110.4029
44.0221,-110.4029
42.5764,-110.4029
41.1307,-110.4029
39.6851,-110.4029
38.2394,-110.4029
36.7937,-110.4029
35.3481,-110.4029
33.9024,-110.4029
32.4567,-110.4029
48.3591,-108.5714
46.9134,-108.5714
45.4678,-108.5714
44.0221,-108.5714
42.5764,-108.5714
41.1307,-108.5714
39.6851,-108.5714
38.2394,-108.5714
36.7937,-108.5714
35.3481,-108.5714
33.9024,-108.5714
32.4567,-108.5714
48.3591,-106.7399
46.9134,-106.7399
45.4678,-106.7399
44.0221,-106.7399
42.5764,-106.7399
41.1307,-106.7399
39.6851,-106.7399
38.2394,-106.7399
36.7937,-106.7399
35.3481,-106.7399
33.9024,-106.7399
32.4567,-106.7399
48.3591,-104.9084
46.9134,-104.9084
45.4678,-104.9084
44.0221,-104.9084
42.5764,-104.9084
41.1307,-104.9084
39.6851,-104.9084
38.2394,-104.9084
36.7937,-104.9084
35.3481,-104.9084
33.9024,-104.9084
32.4567,-104.9084
31.0110,-104.9084
