latitude,longitude
48.3591,-124.6886
48.0700,-124.3223
47.7808,-124.3223
47.4917,-124.3223
43.1547,-124.3223
42.8656,-124.3223
42.5764,-124.3223
42.2873,-124.3223
40.5525,-124.3223
40.2633,-124.3223
48.0700,-123.9560
47.7808,-123.9560
47.4917,-123.9560
47.2026,-123.9560
46.9134,-123.9560
46.6243,-123.9560
46.3352,-123.9560
45.7569,-123.9560
45.4678,-123.9560
45.1786,-123.9560
44.8895,-123.9560
44.6004,-123.9560
44.3112,-123.9560
44.0221,-123.9560
43.7330,-123.9560
43.4438,-123.9560
43.1547,-123.9560
42.8656,-123.9560
42.5764,-123.9560
42.2873,-123.9560
41.9981,-123.9560
41.7090,-123.9560
41.4199,-123.9560
41.1307,-123.9560
40.8416,-123.9560
40.5525,-123.9560
40.2633,-123.9560
39.9742,-123.9560
48.0700,-123.5897
47.7808,-123.5897
47.4917,-123.5897
47.2026,-123.5897
46.9134,-123.5897
46.6243,-123.5897
46.3352,-123.5897
46.0460,-123.5897
45.7569,-123.5897
45.4678,-123.5897
45.1786,-123.5897
44.8895,-123.5897
44.6004,-123.5897
44.3112,-123.5897
44.0221,-123.5897
43.7330,-123.5897
43.4438,-123.5897
43.1547,-123.5897
42.8656,-123.5897
42.5764,-123.5897
42.2873,-123.5897
41.9981,-123.5897
41.7090,-123.5897
41.4199,-123.5897
41.1307,-123.5897
40.8416,-123.5897
40.5525,-123.5897
40.2633,-123.5897
39.9742,-123.5897
39.6851,-123.5897
39.3959,-123.5897
39.1068,-123.5897
38.8177,-123.5897
48.6482,-123.2234
48.0700,-123.2234
47.7808,-123.2234
47.4917,-123.2234
47.2026,-123.2234
46.9134,-123.2234
46.6243,-123.2234
46.3352,-123.2234
46.0460,-123.2234
45.7569,-123.2234
45.4678,-123.2234
45.1786,-123.2234
44.8895,-123.2234
44.6004,-123.2234
44.3112,-123.2234
44.0221,-123.2234
43.7330,-123.2234
43.4438,-123.2234
43.1547,-123.2234
42.8656,-123.2234
42.5764,-123.2234
42.2873,-123.2234
41.9981,-123.2234
41.7090,-123.2234
41.4199,-123.2234
41.1307,-123.2234
40.8416,-123.2234
40.5525,-123.2234
40.2633,-123.2234
39.9742,-123.2234
39.6851,-123.2234
39.3959,-123.2234
39.1068,-123.2234
38.8177,-123.2234
38.5285,-123.2234
48.6482,-122.8571
48.0700,-122.8571
47.7808,-122.8571
47.4917,-122.8571
47.2026,-122.8571
46.9134,-122.8571
46.6243,-122.8571
46.3352,-122.8571
46.0460,-122.8571
45.7569,-122.8571
45.4678,-122.8571
45.1786,-122.8571
44.8895,-122.8571
44.6004,-122.8571
44.3112,-122.8571
44.0221,-122.8571
43.7330,-122.8571
43.4438,-122.8571
43.1547,-122.8571
42.8656,-122.8571
42.5764,-122.8571
42.2873,-122.8571
41.9981,-122.8571
41.7090,-122.8571
41.4199,-122.8571
41.1307,-122.8571
40.8416,-122.8571
40.5525,-122.8571
40.2633,-122.8571
39.9742,-122.8571
39.6851,-122.8571
39.3959,-122.8571
39.1068,-122.8571
38.8177,-122.8571
38.5285,-122.8571
38.2394,-122.8571
48.9374,-122.4908
48.6482,-122.4908
48.3591,-122.4908
48.0700,-122.4908
47.7808,-122.4908
47.4917,-122.4908
47.2026,-122.4908
46.9134,-122.4908
46.6243,-122.4908
46.3352,-122.4908
46.0460,-122.4908
45.7569,-122.4908
45.4678,-122.4908
45.1786,-122.4908
44.8895,-122.4908
44.6004,-122.4908
44.3112,-122.4908
44.0221,-122.4908
43.7330,-122.4908
43.4438,-122.4908
43.1547,-122.4908
42.8656,-122.4908
42.5764,-122.4908
42.2873,-122.4908
41.9981,-122.4908
41.7090,-122.4908
41.4199,-122.4908
41.1307,-122.4908
40.8416,-122.4908
40.5525,-122.4908
40.2633,-122.4908
39.9742,-122.4908
39.6851,-122.4908
39.3959,-122.4908
39.1068,-122.4908
38.8177,-122.4908
38.5285,-122.4908
38.2394,-122.4908
37.9503,-122.4908
37.6611,-122.4908
48.9374,-122.1245
48.6482,-122.1245
48.3591,-122.1245
48.0700,-122.1245
47.7808,-122.1245
47.4917,-122.1245
47.2026,-122.1245
46.9134,-122.1245
46.6243,-122.1245
46.3352,-122.1245
46.0460,-122.1245
45.7569,-122.1245
45.4678,-122.1245
45.1786,-122.1245
44.8895,-122.1245
44.6004,-122.1245
44.3112,-122.1245
44.0221,-122.1245
43.7330,-122.1245
43.4438,-122.1245
43.1547,-122.1245
42.8656,-122.1245
42.5764,-122.1245
42.2873,-122.1245
41.9981,-122.1245
41.7090,-122.1245
41.4199,-122.1245
41.1307,-122.1245
40.8416,-122.1245
40.5525,-122.1245
40.2633,-122.1245
39.9742,-122.1245
39.6851,-122.1245
39.3959,-122.1245
39.1068,-122.1245
38.8177,-122.1245
38.5285,-122.1245
38.2394,-122.1245
37.9503,-122.1245
37.6611,-122.1245
37.3720,-122.1245
37.0829,-122.1245
48.9374,-121.7582
48.6482,-121.7582
48.3591,-121.7582
48.0700,-121.7582
47.7808,-121.7582
47.4917,-121.7582
47.2026,-121.7582
46.9134,-121.7582
46.6243,-121.7582
46.3352,-121.7582
46.0460,-121.7582
